"Vuosi";"Koulutusaste";"Sukupuoli";"Asuinmaakunta";"Koulutusala";"Tutkinnon suorittaneet vuosi ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (%)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (lkm)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (%)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (%)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (%)";"Työttömät vuosi valmistumisen jälkeen  (lkm)";"Työttömät vuosi valmistumisen jälkeen (%)";"Muut vuosi valmistumisen jälkeen  (lkm)";"Muut vuosi valmistumisen jälkeen (%)";"Tutkinnon suorittaneet kolme vuotta ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (%)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Työttömät kolme vuotta valmistumisen jälkeen  (lkm)";"Työttömät kolme vuotta valmistumisen jälkeen (%)";"Muut kolme vuotta valmistumisen jälkeen  (lkm)";"Muut kolme vuotta valmistumisen jälkeen (%)"
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";2000;711;36;600;30;111;6;350;18;658;33;281;14;2194;1085;49;813;37;272;12;499;23;435;20;175;8
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Uusimaa";"Tietojenkäsittely ja tietoliikenne (ICT)";627;284;45;238;38;46;7;78;12;176;28;89;14;710;394;55;298;42;96;14;138;19;126;18;52;7
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Varsinais-Suomi";"Tietojenkäsittely ja tietoliikenne (ICT)";175;55;31;47;27;8;5;36;21;54;31;30;17;202;107;53;83;41;24;12;38;19;36;18;21;10
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Satakunta";"Tietojenkäsittely ja tietoliikenne (ICT)";49;16;33;12;24;4;8;5;10;17;35;11;22;57;27;47;22;39;5;9;16;28;11;19;3;5
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Kanta-Häme";"Tietojenkäsittely ja tietoliikenne (ICT)";87;27;31;23;26;4;5;16;18;30;34;14;16;64;25;39;21;33;4;6;15;23;14;22;10;16
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Pirkanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";149;56;38;45;30;11;7;24;16;47;32;22;15;164;92;56;73;45;19;12;35;21;24;15;13;8
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Päijät-Häme";"Tietojenkäsittely ja tietoliikenne (ICT)";74;15;20;13;18;2;3;14;19;34;46;11;15;91;41;45;35;38;6;7;17;19;26;29;7;8
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Kymenlaakso";"Tietojenkäsittely ja tietoliikenne (ICT)";66;13;20;12;18;1;2;17;26;30;45;6;9;90;32;36;25;28;7;8;15;17;33;37;10;11
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Etelä-Karjala";"Tietojenkäsittely ja tietoliikenne (ICT)";47;.;.;10;21;.;.;5;11;19;40;13;28;38;18;47;14;37;4;11;5;13;12;32;3;8
"2020";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Etelä-Savo";"Tietojenkäsittely ja tietoliikenne (ICT)";47;16;34;15;32;1;2;7;15;17;36;7;15;45;16;36;12;27;4;9;14;31;10;22;5;11
