"111l -- Tutkinnon suorittaneiden pääasiallinen toiminta yhden ja kolmen vuoden kuluttua valmistumisesta, 2007-2023"

"Vuosi";"Koulutusaste";"Sukupuoli";"Asuinmaakunta";"Koulutusala";"Tutkinnon suorittaneet vuosi ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (%)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (lkm)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (%)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (%)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (%)";"Työttömät vuosi valmistumisen jälkeen  (lkm)";"Työttömät vuosi valmistumisen jälkeen (%)";"Muut vuosi valmistumisen jälkeen  (lkm)";"Muut vuosi valmistumisen jälkeen (%)";"Tutkinnon suorittaneet kolme vuotta ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (%)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Työttömät kolme vuotta valmistumisen jälkeen  (lkm)";"Työttömät kolme vuotta valmistumisen jälkeen (%)";"Muut kolme vuotta valmistumisen jälkeen  (lkm)";"Muut kolme vuotta valmistumisen jälkeen (%)"
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";2025;900;44;731;36;169;8;369;18;521;26;235;12;1956;1041;53;766;39;275;14;441;23;346;18;128;7
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Uusimaa";"Tietojenkäsittely ja tietoliikenne (ICT)";669;330;49;266;40;64;10;115;17;160;24;64;10;601;357;59;270;45;87;14;103;17;105;17;36;6
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Varsinais-Suomi";"Tietojenkäsittely ja tietoliikenne (ICT)";151;77;51;58;38;19;13;24;16;31;21;19;13;155;89;57;72;46;17;11;34;22;22;14;10;6
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Satakunta";"Tietojenkäsittely ja tietoliikenne (ICT)";64;28;44;20;31;8;13;10;16;19;30;7;11;49;22;45;19;39;3;6;15;31;7;14;5;10
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Kanta-Häme";"Tietojenkäsittely ja tietoliikenne (ICT)";78;27;35;23;29;4;5;10;13;25;32;16;21;81;39;48;31;38;8;10;15;19;16;20;11;14
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Pirkanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";174;71;41;59;34;12;7;35;20;52;30;16;9;169;117;69;89;53;28;17;26;15;17;10;9;5
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Päijät-Häme";"Tietojenkäsittely ja tietoliikenne (ICT)";81;45;56;40;49;5;6;5;6;24;30;7;9;51;26;51;19;37;7;14;12;24;11;22;2;4
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Kymenlaakso";"Tietojenkäsittely ja tietoliikenne (ICT)";55;16;29;13;24;3;5;15;27;18;33;6;11;55;27;49;16;29;11;20;15;27;9;16;4;7
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Etelä-Karjala";"Tietojenkäsittely ja tietoliikenne (ICT)";29;13;45;11;38;2;7;6;21;6;21;4;14;52;24;46;18;35;6;12;15;29;9;17;4;8
"2023";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Etelä-Savo";"Tietojenkäsittely ja tietoliikenne (ICT)";60;23;38;19;32;4;7;10;17;17;28;10;17;37;10;27;7;19;3;8;13;35;12;32;2;5
